1353894679391786865;metadata_log_format;3 # nanosecond timing
1353894679392610839;metadata_system_time;1353894679393
1353894679392977050;metadata_surveyName;/sdcard/LocationTracker/1353894679375.txt
1353894679393556884;metadata_notes;
1353894679394075683;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1353856623678000000;latLngE7LastKnown;378756222 -1222782500 45.0 -1.0 -1.0
1353894679395448073;accel/kr3dh;-4.576437 2.8738933 7.3822284 3
1353894679488039073;orientation/AK8973 Compass;213.09375 -20.359375 -26.75 1
1353894679488039073;accel/kr3dh;-3.9635212 3.0645783 7.246025 3
1353894679488039073;compass/AK8973 Magnetic Field;0.6875 -1.25 0.4375 3
1353894679488039073;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1353894679588136073;compass/AK8973 Magnetic Field;0.4375 -1.75 0.4375 3
1353894679588106073;accel/kr3dh;-3.3097446 3.0781987 8.185829 3
1353894679588106073;linaccel/Linear Acceleration Sensor;0.6425147 0.013386011 0.923615 3
1353894679588075073;orientation/AK8973 Compass;203.78125 -19.21875 -20.734375 1
1353894679690035073;compass/AK8973 Magnetic Field;-0.3125 -2.0 0.4375 3
1353894679690004073;accel/kr3dh;-2.7649305 3.7319753 7.0553403 3
1353894679690004073;linaccel/Linear Acceleration Sensor;1.1130679 0.6538882 -0.2786932 3
1353894679689974073;orientation/AK8973 Compass;187.51563 -26.21875 -19.09375 1
1353894679783998073;compass/AK8973 Magnetic Field;-1.3125 -2.25 0.6875 3
1353894679783968073;orientation/AK8973 Compass;168.65625 -33.65625 -0.1875 1
1353894679783968073;accel/kr3dh;-0.027240695 4.7535014 7.137062 3
1353894679783968073;linaccel/Linear Acceleration Sensor;3.630077 1.6032398 -0.29909897 3
1353894679881685073;compass/AK8973 Magnetic Field;-2.3125 -2.5 1.4375 3
1353894679881654073;accel/kr3dh;-1.3484144 2.506144 11.127824 3
1353894679881654073;linaccel/Linear Acceleration Sensor;1.782517 -0.83861136 3.577763 3
1353894679881593073;orientation/AK8973 Compass;155.42188 -12.609375 -6.734375 1
1353894679980196073;compass/AK8973 Magnetic Field;-3.625 -3.0 2.4375 3
1353894679980165073;orientation/AK8973 Compass;144.4375 -14.90625 2.234375 1
1353894679980165073;accel/kr3dh;0.38136974 2.506144 9.41166 3
1353894679980165073;linaccel/Linear Acceleration Sensor;2.6738675 -1.056138 1.5994511 3
1353894680079927073;compass/AK8973 Magnetic Field;-4.125 -3.5 3.75 3
1353894680079866073;accel/kr3dh;0.667397 1.2803127 10.119919 3
1353894680079866073;linaccel/Linear Acceleration Sensor;1.9957399 -2.257928 1.7106724 3
1353894680079836073;orientation/AK8973 Compass;138.26563 -7.203125 3.75 1
1353894680175508073;accel/kr3dh;0.8580819 1.9749504 9.997335 3
1353894680175508073;compass/AK8973 Magnetic Field;-4.125 -3.8125 4.25 3
