1364534070803793945;metadata_log_format;3 # nanosecond timing
1364534070804923096;metadata_system_time;1364534070805
1364534070805869141;metadata_surveyName;/sdcard/LocationTracker/1364534070790.txt
1364534070807486573;metadata_notes;
1364534070808493653;metadata_deviceInfo;Board: bryce Brand: Verizon Device: bryce Hardware: qcom Manufacturer: LGE Model: VS910 4G Product: bryce
1364534046735000000;latLngE7LastKnown;378749539 -1222585425 55.0 -1.0 -1.0
1364534070872030324;compass/AK8973 Magnetic Field;-21.125 56.4375 33.0 3
1364534070872000324;orientation/AK8973 Compass;30.421875 6.03125 9.8125 1
1364534070872000324;accel/kr3dh;1.7706453 -1.0896279 10.18802 3
1364534070872000324;linaccel/Linear Acceleration Sensor;0.0 0.0 0.0 3
1364534070964132324;accel/kr3dh;1.4573772 -1.0760075 9.861132 3
1364534070964132324;compass/AK8973 Magnetic Field;-22.125 56.4375 34.0 3
1364534070964132324;linaccel/Linear Acceleration Sensor;-0.30913043 0.01344049 -0.3225708 3
1364534070964102324;orientation/AK8973 Compass;30.015625 6.171875 8.375 1
1364534071059897324;compass/AK8973 Magnetic Field;-21.125 56.4375 34.0 3
1364534071059866324;accel/kr3dh;1.3892754 -0.92618364 9.711308 3
1364534071059866324;linaccel/Linear Acceleration Sensor;-0.35069644 0.15991575 -0.44353008 3
1364534071059836324;orientation/AK8973 Compass;29.578125 5.375 8.109375 1
1364534071154135324;orientation/AK8973 Compass;29.15625 5.296875 7.65625 1
1364534071154135324;accel/kr3dh;1.2803127 -0.88532263 9.479762 3
1364534071154135324;compass/AK8973 Magnetic Field;-21.125 56.9375 33.25 3
1364534071154135324;linaccel/Linear Acceleration Sensor;-0.3902557 0.18536156 -0.59460545 3
1364534071248007324;accel/kr3dh;1.3620348 -0.9670447 9.615966 3
1364534071248007324;linaccel/Linear Acceleration Sensor;-0.19789279 0.06808126 -0.31877518 3
1364534071247946324;orientation/AK8973 Compass;28.765625 5.6875 8.03125 1
1364534071344412324;compass/AK8973 Magnetic Field;-20.625 56.6875 33.0 3
1364534071344382324;accel/kr3dh;1.3756552 -0.95342433 9.561484 3
1364534071344382324;linaccel/Linear Acceleration Sensor;-0.0627892 0.032375097 -0.2025938 3
1364534071344351324;orientation/AK8973 Compass;28.375 5.640625 8.140625 1
1364534071438803324;orientation/AK8973 Compass;28.046875 5.015625 8.453125 1
1364534071438803324;accel/kr3dh;1.4437568 -0.8580819 9.670447 3
1364534071438803324;compass/AK8973 Magnetic Field;-20.875 56.1875 33.0 3
1364534071438803324;linaccel/Linear Acceleration Sensor;0.08964825 0.08724922 0.044319153 3
1364534071531820324;compass/AK8973 Magnetic Field;-20.625 55.6875 33.5 3
1364534071531790324;orientation/AK8973 Compass;27.734375 5.71875 8.734375 1
1364534071531790324;accel/kr3dh;1.5118586 -0.9942854 9.79303 3
1364534071531790324;linaccel/Linear Acceleration Sensor;0.18443406 -0.07079047 0.2347393 3
1364534071625387324;orientation/AK8973 Compass;27.453125 5.15625 7.75 1
1364534071625387324;accel/kr3dh;1.3075534 -0.87170225 9.561484 3
1364534071625387324;compass/AK8973 Magnetic Field;-20.875 55.4375 33.25 3
1364534071625387324;linaccel/Linear Acceleration Sensor;-0.042555332 0.04463643 -0.0011529922 3
1364534071669577636;wifi;00:24:14:31:e6:21,UNKNOWN,-69 00:24:14:31:f9:41,UNKNOWN,-79 00:24:14:31:f6:e1,UNKNOWN,-84 00:24:14:31:f8:a1,UNKNOWN,-88 00:24:14:31:e6:23,UNKNOWN,-74 00:24:14:31:f6:e3,UNKNOWN,-81 00:24:14:31:f9:43,UNKNOWN,-83 00:24:14:31:f8:a3,UNKNOWN,-92 00:24:14:31:eb:b3,UNKNOWN,-96 00:24:14:31:e6:29,UNKNOWN,-70 00:24:14:31:e6:20,UNKNOWN,-71 00:24:14:31:e6:24,UNKNOWN,-74 00:24:14:31:e6:22,UNKNOWN,-75 00:24:14:31:f6:e4,UNKNOWN,-79 00:24:14:31:f9:40,UNKNOWN,-79 00:24:14:31:f6:e2,UNKNOWN,-80 00:24:14:31:f9:49,UNKNOWN,-80 00:24:14:31:f9:44,UNKNOWN,-83 00:24:14:31:f9:42,UNKNOWN,-83 00:24:14:31:f8:a0,UNKNOWN,-87 00:24:14:31:f8:a9,UNKNOWN,-88 00:24:14:31:f8:a2,UNKNOWN,-91 00:24:14:31:f6:e0,UNKNOWN,-87 00:24:14:31:f8:a4,UNKNOWN,-92 00:24:14:31:eb:b4,UNKNOWN,-95 
1364534071660000000;latLngE7Network;378749070 -1222585123 55.0 -1.0 -1.0
1364534071718191324;compass/AK8973 Magnetic Field;-21.375 55.9375 33.25 3
1364534071718161324;orientation/AK8973 Compass;27.203125 4.9375 7.859375 1
1364534071718161324;accel/kr3dh;1.3211738 -0.8308412 9.547864 3
1364534071718161324;linaccel/Linear Acceleration Sensor;-0.06775904 0.08456993 -0.05786991 3
1364534071814963324;accel/kr3dh;1.334794 -0.89894295 9.575105 3
1364534071814963324;compass/AK8973 Magnetic Field;-21.125 56.6875 33.0 3
1364534071814963324;linaccel/Linear Acceleration Sensor;-0.07297385 0.011325717 -0.06539059 3
1364534071814932324;orientation/AK8973 Compass;26.9375 5.328125 7.90625 1
1364534071909109324;compass/AK8973 Magnetic Field;-21.625 56.9375 33.0 3
1364534071909079324;accel/kr3dh;1.3211738 -0.95342433 9.575105 3
1364534071909079324;linaccel/Linear Acceleration Sensor;-0.07211435 -0.05563134 -0.06274223 3
1364534071909048324;orientation/AK8973 Compass;26.703125 5.625 7.828125 1
1364534072006369324;compass/AK8973 Magnetic Field;-20.875 57.1875 32.75 3
1364534072006338324;accel/kr3dh;1.4028958 -0.92618364 9.602345 3
1364534072006338324;linaccel/Linear Acceleration Sensor;0.04172325 -0.03786546 -0.006290436 3
1364534072006277324;orientation/AK8973 Compass;26.453125 5.46875 8.28125 1
1364534072104239324;compass/AK8973 Magnetic Field;-20.875 56.4375 32.75 3
1364534072104208324;accel/kr3dh;1.3620348 -0.9670447 9.575105 3
1364534072104208324;linaccel/Linear Acceleration Sensor;0.02327478 -0.07261962 -0.006644249 3
1364534072104147324;orientation/AK8973 Compass;26.21875 5.71875 8.046875 1
1364534072198721324;compass/AK8973 Magnetic Field;-20.875 56.1875 32.75 3
1364534072198691324;orientation/AK8973 Compass;26.015625 5.203125 7.796875 1
1364534072198691324;accel/kr3dh;1.3211738 -0.88532263 9.602345 3
1364534072198691324;linaccel/Linear Acceleration Sensor;-0.01555717 0.026935995 0.030815125 3
1364534072292166324;accel/kr3dh;1.334794 -0.89894295 9.588725 3
1364534072292166324;compass/AK8973 Magnetic Field;-21.125 55.9375 32.75 3
1364534072292166324;linaccel/Linear Acceleration Sensor;-0.01089716 0.02988422 0.014095306 3
1364534072292135324;orientation/AK8973 Compass;25.84375 5.296875 7.890625 1
1364534072385580324;accel/kr3dh;1.2803127 -0.8580819 9.643207 3
1364534072385580324;compass/AK8973 Magnetic Field;-21.625 56.1875 33.5 3
1364534072385580324;linaccel/Linear Acceleration Sensor;-0.070231795 0.07447559 0.059688568 3
1364534072385550324;orientation/AK8973 Compass;25.6875 5.046875 7.546875 1
1364534072463400878;wifi;00:24:14:31:e6:21,UNKNOWN,-70 00:24:14:31:f9:41,UNKNOWN,-82 00:24:14:31:f6:e1,UNKNOWN,-85 00:24:14:31:f8:a1,UNKNOWN,-89 00:24:14:31:e6:23,UNKNOWN,-75 00:24:14:31:f6:e3,UNKNOWN,-78 00:24:14:31:f9:43,UNKNOWN,-82 00:24:14:31:f8:a3,UNKNOWN,-92 00:24:14:31:eb:b3,UNKNOWN,-95 00:24:14:31:e6:20,UNKNOWN,-69 00:24:14:31:e6:29,UNKNOWN,-69 00:24:14:31:e6:22,UNKNOWN,-75 00:24:14:31:e6:24,UNKNOWN,-76 00:24:14:31:f6:e2,UNKNOWN,-79 00:24:14:31:f9:44,UNKNOWN,-81 00:24:14:31:f9:42,UNKNOWN,-82 00:24:14:31:f9:40,UNKNOWN,-83 00:24:14:31:f9:49,UNKNOWN,-83 00:24:14:31:f6:e9,UNKNOWN,-84 00:24:14:31:f6:e0,UNKNOWN,-84 00:24:14:31:f8:a9,UNKNOWN,-88 00:24:14:31:f8:a4,UNKNOWN,-92 00:24:14:31:f8:a2,UNKNOWN,-92 00:24:14:31:f8:a0,UNKNOWN,-89 00:24:14:31:eb:b2,UNKNOWN,-95 00:24:14:31:eb:b4,UNKNOWN,-96 
1364534072479696324;compass/AK8973 Magnetic Field;-21.375 56.9375 33.5 3
1364534072479666324;accel/kr3dh;1.3211738 -0.7763598 9.547864 3
1364534072479666324;linaccel/Linear Acceleration Sensor;-0.022672296 0.14299011 -0.04548931 3
1364534072479635324;orientation/AK8973 Compass;25.53125 4.59375 7.859375 1
1364534072572592324;orientation/AK8973 Compass;25.375 6.078125 8.03125 1
1364534072572592324;accel/kr3dh;1.3620348 -1.0351465 9.602345 3
1364534072572592324;linaccel/Linear Acceleration Sensor;0.032108545 -0.14007562 0.0021591187 3
1364534072665426324;compass/AK8973 Magnetic Field;-21.125 56.9375 33.5 3
1364534072665396324;orientation/AK8973 Compass;25.203125 4.9375 7.1875 1
1364534072665396324;accel/kr3dh;1.2122109 -0.8308412 9.575105 3
1364534072665396324;linaccel/Linear Acceleration Sensor;-0.10537326 0.043570757 -0.02562046 3
1364534072701000000;rawNmea;$GPGSV,3,1,12,01,06,035,,02,12,181,,04,34,153,,08,08,140,*71
1364534072703000000;rawNmea;$GPGSV,3,2,12,09,69,171,,12,09,285,,15,23,251,,17,67,037,*7F
1364534072704000000;rawNmea;$GPGSV,3,3,12,24,37,310,,26,18,208,,28,33,075,,27,,,*40
1364534072707000000;rawNmea;$GPGGA,,,,,,0,,,,,,,,*66
1364534072710000000;rawNmea;$GPVTG,,T,,M,,N,,K,N*2C
1364534072715000000;rawNmea;$GPRMC,,V,,,,,,,,,,N*53
1364534072721000000;rawNmea;$GPGSA,A,1,,,,,,,,,,,,,,,*1E
1364534072759207324;compass/AK8973 Magnetic Field;-21.375 56.6875 33.5 3
1364534072759176324;accel/kr3dh;1.1849703 -0.7354988 9.684067 3
1364534072759176324;linaccel/Linear Acceleration Sensor;-0.12248325 0.13273513 0.08722973 3
1364534072759146324;orientation/AK8973 Compass;25.0625 4.3125 6.953125 1
1364534072857626324;compass/AK8973 Magnetic Field;-21.375 56.4375 33.25 3
1364534072857596324;accel/kr3dh;1.2803127 -0.8036005 9.656827 3
1364534072857596324;linaccel/Linear Acceleration Sensor;-0.008890152 0.06146747 0.058979034 3
1364534072857565324;orientation/AK8973 Compass;24.9375 4.703125 7.515625 1
1364534072952475324;compass/AK8973 Magnetic Field;-21.125 56.1875 33.0 3
1364534072952414324;accel/kr3dh;1.334794 -0.92618364 9.602345 3
1364534072952414324;linaccel/Linear Acceleration Sensor;0.07017481 -0.07731199 -0.007855415 3
1364534072952383324;orientation/AK8973 Compass;24.8125 5.46875 7.890625 1
1364534073046133324;accel/kr3dh;1.2803127 -0.8308412 9.615966 3
1364534073046133324;compass/AK8973 Magnetic Field;-20.875 56.1875 32.5 3
1364534073046133324;linaccel/Linear Acceleration Sensor;0.030516982 -0.0017660856 -0.011508942 3
1364534073046103324;orientation/AK8973 Compass;24.6875 4.90625 7.546875 1
1364534073141409324;compass/AK8973 Magnetic Field;-20.625 56.4375 32.5 3
1364534073141379324;accel/kr3dh;1.1849703 -0.7627395 9.643207 3
1364534073141379324;linaccel/Linear Acceleration Sensor;-0.06911349 0.059940815 0.0055980682 3
1364534073141318324;orientation/AK8973 Compass;24.546875 4.484375 6.984375 1
1364534073243674315;wifi;00:24:14:31:e6:21,UNKNOWN,-69 00:24:14:31:f9:41,UNKNOWN,-82 00:24:14:31:f6:e1,UNKNOWN,-86 00:24:14:31:f8:a1,UNKNOWN,-88 00:24:14:31:e6:23,UNKNOWN,-74 00:24:14:31:f6:e3,UNKNOWN,-78 00:24:14:31:f9:43,UNKNOWN,-82 00:24:14:31:f8:a3,UNKNOWN,-91 00:24:14:31:eb:b3,UNKNOWN,-94 00:24:14:31:e6:20,UNKNOWN,-69 00:24:14:31:e6:29,UNKNOWN,-70 00:24:14:31:e6:24,UNKNOWN,-73 00:24:14:31:e6:22,UNKNOWN,-74 00:24:14:31:f6:e4,UNKNOWN,-77 00:24:14:31:f6:e2,UNKNOWN,-78 00:24:14:31:f6:e9,UNKNOWN,-78 00:24:14:31:f9:44,UNKNOWN,-82 00:24:14:31:f9:42,UNKNOWN,-82 00:24:14:31:f9:49,UNKNOWN,-82 00:24:14:31:f9:40,UNKNOWN,-83 00:24:14:31:f6:e0,UNKNOWN,-84 00:24:14:31:f8:a9,UNKNOWN,-89 00:24:14:31:f8:a2,UNKNOWN,-91 00:24:14:31:eb:b2,UNKNOWN,-94 00:24:14:31:f8:a0,UNKNOWN,-90 00:24:14:31:eb:b4,UNKNOWN,-95 00:24:14:31:eb:b9,UNKNOWN,-96 
1364534073248587324;compass/AK8973 Magnetic Field;-20.375 56.4375 33.0 3
1364534073248556324;accel/kr3dh;1.2122109 -0.7491191 9.643207 3
1364534073248556324;linaccel/Linear Acceleration Sensor;-0.052382946 0.07640594 0.006784439 3
1364534073248495324;orientation/AK8973 Compass;24.40625 4.390625 7.15625 1
